Ticker,Sector
ONWARDTEC.NS,Technology
SHIV-VANI-EQ.NS,NO
SABERORGA.NS,NO
TCI.NS,Industrials
ORIENTBELL.NS,Industrials
ORTINLABSS-BE.NS,NO
ORBTEXP-EQ.NS,NO
SVOGL.NS,NO
QUINTEGRA.NS,Technology
QUICKHEAL.NS,Technology
QGOLDHALF.NS,NO
QUINTEGRA-EQ.NS,NO
QNIFTY.NS,NO
RUCHISOYA.NS,NO
INDOCO.NS,Healthcare
GOKUL-BE.NS,NO
TEXRAIL.NS,Industrials
UTTAMVALUE.NS,NO
UTTAMSTL.NS,Basic Materials
USHAMART.NS,Basic Materials
UNITECH.NS,Real Estate
UNIPLY.NS,Basic Materials
UNIENTER.NS,Basic Materials
UMESLTD.NS,Consumer Defensive
UGARSUGAR.NS,Consumer Defensive
CUB.NS,Financial Services
BVCL.NS,Basic Materials
VSTTILLERS.NS,Industrials
VSTIND.NS,Consumer Defensive
VOLTAMP.NS,Industrials
VISUINTL.NS,NO
VIPIND.NS,Consumer Cyclical
VIMTALABS.NS,Healthcare
VIDEOIND.NS,Consumer Cyclical
SPECTACLE.NS,NO
HOTELEELA.NS,NO
HMVL.NS,Communication Services
VLSFINANCE.NS,Financial Services
VISUINTL-EQ.NS,NO
VALECHAENG-EQ.NS,NO
VIDHIDYE.NS,NO
VARDMNPOLY-EQ.NS,NO
GEECEE-EQ.NS,NO
VALECHAENG.NS,NO
HINDUJAVEN.NS,NO
VSSL-EQ.NS,NO
VIKASECO-EQ.NS,NO
SPECTACLE-EQ.NS,NO
SMCSRVIRD-MF.NS,NO
VTXIND-BE.NS,NO
VMART.NS,Consumer Cyclical
GEECEE.NS,Real Estate
VINYLINDIA.NS,Basic Materials
GNFC.NS,Basic Materials
VTXIND.NS,NO
VESUVIUS.NS,Industrials
VAIBHAVGBL.NS,Consumer Cyclical
VALUEIND-EQ.NS,NO
VADILALIND.NS,Consumer Defensive
UTTAMVALUE-EQ.NS,NO
VIDEOIND-EQ.NS,NO
VASWANI.NS,Basic Materials
GLOBALVECT-BE.NS,NO
WIPRO.NS,Technology
WANBURY.NS,Healthcare
TODAYS.NS,NO
IBWSL.NS,NO
FIRSTWIN.NS,NO
WINDMACHIN-EQ.NS,NO
WELSPUNIND.NS,Consumer Cyclical
WEBELSOLAR.NS,Technology
WELSYNTEX-EQ.NS,NO
WABCOINDIA.NS,NO
WSTCSTPAPR-EQ.NS,NO
RAIREKMOH.NS,NO
WILLAMAGOR-EQ.NS,NO
WELSYNTEX.NS,NO
LAXMIMACH-EQ.NS,NO
WOCKPHARMA.NS,Healthcare
WOCKPHARMA-EQ.NS,NO
IBWSL-EQ.NS,NO
WEIZMANIND-EQ.NS,NO
WHIRLPOOL.NS,Consumer Cyclical
WILLAMAGOR.NS,Financial Services
WENDT.NS,Industrials
ZYDUSWELL.NS,Consumer Defensive
WSTCSTPAPR.NS,Basic Materials
TODAYS-EQ.NS,NO
WELENT.NS,Industrials
SSWL.NS,Consumer Cyclical
WONDERLA.NS,Consumer Cyclical
RFXXII29GR-MF.NS,NO
XCHANGING-EQ.NS,NO
XCHANGING.NS,Technology
UFTFGR12PX-MF.NS,NO
XLENERGY.NS,NO
YESBANK-EQ.NS,NO
WINSOME-BE.NS,NO
WINSOME.NS,Consumer Cyclical
ZYLOG.NS,NO
ZENSARTEC.NS,NO
HINDZINC.NS,Basic Materials
ZANDUREALT.NS,NO
ZENITHEXPO.NS,Consumer Cyclical
ZENITHEXPO-EQ.NS,NO
ZEELEARN-EQ.NS,NO
ZEEL-P1.NS,NO
TBZ.NS,Consumer Cyclical
ZEEL.NS,Communication Services
ZUARIGLOB.NS,Industrials
ZICOM-EQ.NS,NO
ZENITHCOMP.NS,NO
ZEEMEDIA.NS,Communication Services
ZANDUREALT-EQ.NS,NO
ZUARI.NS,Basic Materials
ZEELEARN.NS,Consumer Defensive
ZENTEC.NS,Industrials
ZENTEC-BE.NS,NO
ZENTEC-EQ.NS,NO
ZENITHBIR-EQ.NS,NO
ZODIACLOTH-EQ.NS,NO
ZENSARTECH.NS,Technology
HINDZINC-EQ.NS,NO
ZODIACLOTH.NS,Consumer Cyclical
ZYDUSWELL-EQ.NS,NO
ZICOM.NS,Industrials
AARVEEDEN.NS,Consumer Cyclical
AARTIDRUGS-EQ.NS,NO
AARTIIND-EQ.NS,NO
AARTIIND.NS,Basic Materials
AARTIDRUGS.NS,Healthcare
ABB.NS,Industrials
ABCIL.NS,NO
STYABS.NS,NO
ABFRL.NS,Consumer Cyclical
ABGSHIP.NS,NO
ABHISHEK.NS,NO
ABIRLANUVO-EQ.NS,NO
ORIENTABRA.NS,Basic Materials
ORIENTABRA-EQ.NS,NO
ABIRLANUVO.NS,NO
ABBOTINDIA.NS,Healthcare
ABCIL-EQ.NS,NO
IMPAL.NS,Consumer Cyclical
ACROPETAL-BE.NS,NO
ACCELYA.NS,Technology
AFL-EQ.NS,NO
AFL.NS,NO
ACE.NS,Industrials
ACCELYA-EQ.NS,NO
ACROPETAL.NS,NO
TREEHOUSE.NS,Consumer Defensive
ACC.NS,Basic Materials
ACROPETAL-EQ.NS,NO
VARDHACRLC-EQ.NS,NO
VARDHACRLC.NS,Consumer Cyclical
AMTL.NS,NO
ADVANTA.NS,NO
ADSL.NS,Technology
ADHUNIK.NS,NO
ADANITRANS.NS,Utilities
ADANIENT.NS,Energy
ADVANIHOTR.NS,Consumer Cyclical
ADANITRANS-BE.NS,NO
ONELIFECAP.NS,Financial Services
ADFFOODS-EQ.NS,NO
ADSL-EQ.NS,NO
ADHUNIK-EQ.NS,NO
PRESSMN.NS,Communication Services
ADVANIHOTR-EQ.NS,NO
ADLABS-EQ.NS,NO
PFRL.NS,NO
ADI-EQ.NS,NO
ADORWELD.NS,Industrials
PRESSMN-EQ.NS,NO
BIRLAMONEY.NS,Financial Services
ADANIPOWER.NS,Utilities
SPARC.NS,Healthcare
SDAFIIIGR-MF.NS,NO
ADLABS.NS,NO
SABTN-EQ.NS,NO
AEGISCHEM.NS,Energy
AFTEK.NS,NO
AFTEK-BZ.NS,NO
AFTEK-BE.NS,NO
ARIES.NS,Basic Materials
REIAGROLTD-EQ.NS,NO
IFBAGRO.NS,Consumer Defensive
GREENFIRE.NS,NO
ATFL.NS,Consumer Defensive
AGRODUTCH.NS,NO
AGCNET.NS,NO
NATNLSTEEL-EQ.NS,NO
AGRITECH.NS,Consumer Defensive
ARIES-EQ.NS,NO
NATNLSTEEL-BE.NS,NO
GREENFIRE-EQ.NS,NO
AGARIND-EQ.NS,NO
ATFL-EQ.NS,NO
JMA-EQ.NS,NO
JAYAGROGN-EQ.NS,NO
HATSUN-EQ.NS,NO
AGRITECH-BE.NS,NO
AGARIND.NS,Basic Materials
REIAGROLTD-BE.NS,NO
AGRITECH-EQ.NS,NO
GOKULAGRO.NS,Consumer Defensive
HATSUN.NS,Consumer Defensive
DHANUKA.NS,Basic Materials
JVLAGRO.NS,NO
AGRODUTCH-BE.NS,NO
REIAGROLTD.NS,NO
NATNLSTEEL.NS,Basic Materials
AHLWEST.NS,Consumer Cyclical
AHMEDFORG.NS,NO
AHIMSA-SO.NS,NO
AHIMSA-SQ.NS,NO
AHIMSA-SM.NS,NO
AHIMSA-SL.NS,NO
AHIMSA-SP.NS,NO
AHLUCONT.NS,Industrials
AHLEAST.NS,Consumer Cyclical
AHIMSA-SI.NS,NO
AHIMSA-ST.NS,NO
AICHAMP.NS,NO
AIAENG.NS,Industrials
AICHAMP-EQ.NS,NO
JETAIRWAYS.NS,Industrials
AIFL.NS,Consumer Cyclical
KFA-BZ.NS,NO
AIFL-EQ.NS,NO
AIL.NS,NO
AJMERA.NS,Real Estate
AJANTPHARM.NS,Healthcare
AKZOINDIA.NS,Basic Materials
AKZOINDIA-EQ.NS,NO
AKSHOPTFBR.NS,Technology
ALLSEC.NS,Industrials
ALOKTEXT.NS,NO
ALKEM.NS,Healthcare
METKORE.NS,Basic Materials
GUJALKALI.NS,Basic Materials
MANAKALUCO-EQ.NS,NO
MANAKALUCO-BE.NS,NO
SHAHALLOYS-EQ.NS,NO
IMFA.NS,Basic Materials
SALSTEEL.NS,Basic Materials
ALICON.NS,Industrials
ALPA-EQ.NS,NO
ALLSEC-EQ.NS,NO
IMFA-EQ.NS,NO
ALBK.NS,NO
APLLTD.NS,Healthcare
ALOKTEXT-EQ.NS,NO
SHAHALLOYS.NS,Basic Materials
CHEMFALKAL-EQ.NS,NO
GAL-EQ.NS,NO
ALKALI.NS,Basic Materials
ALANKIT.NS,Technology
CHEMFALKAL.NS,NO
ALEMBICLTD.NS,Healthcare
NATIONALUM.NS,Basic Materials
ALLCARGO.NS,Industrials
MAITHANALL.NS,Basic Materials
GAL.NS,Basic Materials
ALMONDZ-EQ.NS,NO
ALPA.NS,Healthcare
ALKEM-EQ.NS,NO
ESSDEE.NS,NO
MANAKALUCO.NS,Basic Materials
ALPHAGEO-EQ.NS,NO
ALPSINDUS-EQ.NS,NO
MAANALU.NS,Basic Materials
ALCHEM.NS,Industrials
PARAL-BZ.NS,NO
ALKALI-EQ.NS,NO
ALPA-BE.NS,NO
SHAHALLOYS-BE.NS,NO
ALPSINDUS.NS,Consumer Cyclical
ALANKIT-EQ.NS,NO
ALPINEHOU-BE.NS,NO
ALKYLAMINE.NS,Basic Materials
METKORE-EQ.NS,NO
ALPHAGEO.NS,Energy
ALSTOMT&D.NS,NO
GAEL.NS,Consumer Defensive
BANARISUG.NS,Consumer Defensive
AMTEKAUTO.NS,NO
AMBIKCO.NS,Consumer Cyclical
ASIL-EQ.NS,NO
ASIL-BE.NS,NO
BASML-EQ.NS,NO
AMRUTANJAN-EQ.NS,NO
AMTEKINDIA-BE.NS,NO
BASML.NS,Consumer Cyclical
ASIL.NS,NO
AMBUJACEM.NS,Basic Materials
AMTEKINDI.NS,NO
AMDIND.NS,Consumer Cyclical
AMARAJABAT-EQ.NS,NO
AMRUTANJAN.NS,Healthcare
GAEL-EQ.NS,NO
BALAMINES.NS,Basic Materials
AMARAJABAT.NS,Industrials
AMTL-EQ.NS,NO
AMRUTANJAN-BE.NS,NO
AMLSTEEL-BE.NS,NO
MRPL.NS,Energy
LOTUSEYE.NS,Healthcare
IOLCP.NS,Healthcare
ANSALAPI.NS,Real Estate
ANIKINDS.NS,Consumer Defensive
ANANTRAJ.NS,Real Estate
ANANDAMRUB.NS,NO
DALMIASUG-EQ.NS,NO
CYBERTECH-EQ.NS,NO
LAKSHMIEFL-EQ.NS,NO
EUROTEXIND-EQ.NS,NO
DALMIASUG.NS,Consumer Defensive
GOKUL-EQ.NS,NO
ANDHRABANK.NS,NO
HELIOSMATH-EQ.NS,NO
ANDHRACEMT.NS,Basic Materials
HCIL-EQ.NS,NO
SESHAPAPER.NS,Basic Materials
ANSALAPI-EQ.NS,NO
RCF.NS,Basic Materials
TAINWALCHM.NS,Basic Materials
EUROTEXIND.NS,Consumer Cyclical
ANANDAMRUB-EQ.NS,NO
SHK-EQ.NS,NO
MADHAV.NS,Industrials
ANTGRAPHIC.NS,Consumer Cyclical
SUTLEJTEX.NS,Consumer Cyclical
HELIOSMATH.NS,NO
ASAL-EQ.NS,NO
IOLCP-EQ.NS,NO
HDIL-EQ.NS,NO
HITACHIHOM-EQ.NS,NO
ANDHRSUGAR-EQ.NS,NO
ANKITMETAL.NS,Basic Materials
DEEPAKFERT-EQ.NS,NO
BALMLAWRIE.NS,Industrials
CHOLAFIN-EQ.NS,NO
ANIKINDS-BE.NS,NO
MANGALAM-EQ.NS,NO
CHOLAFIN.NS,Financial Services
VETO.NS,Industrials
PGHH.NS,Consumer Defensive
ANTGRAPHIC-BE.NS,NO
TGBHOTELS-EQ.NS,NO
SFCL-EQ.NS,NO
KEMROCK-EQ.NS,NO
SDBL.NS,Consumer Defensive
ANDHRACEMT-EQ.NS,NO
OISL.NS,Basic Materials
DEEPAKFERT.NS,Basic Materials
ANSALHSG.NS,Real Estate
MRPL-EQ.NS,NO
MONNETISPA.NS,NO
SUTLEJTEX-EQ.NS,NO
OISL-EQ.NS,NO
ANTGRAPHIC-EQ.NS,NO
FACT-EQ.NS,NO
SURANAT&P.NS,Utilities
PIPAVAVDOC.NS,NO
ANDHRSUGAR.NS,Basic Materials
EMKAYTOOLS-SM.NS,NO
