Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,daily_return,cum_return,middle_band,upper_band,lower_band,Conversion,Baseline,SpanA,SpanB,Lagging
2018-06-13 00:00:00-04:00,77.5,77.5,77.5,77.5,0,0.0,0.0,0.0,,,,,,,,,,
2018-06-28 00:00:00-04:00,77.5,77.5,77.5,77.5,0,0.0,0.0,0.0,0.0,1.0,,,,,,,,
2018-06-29 00:00:00-04:00,77.5,77.5,77.5,77.5,0,0.0,0.0,0.0,0.0,1.0,,,,,,,,
2018-07-20 00:00:00-04:00,77.5,77.5,77.5,77.5,0,0.0,0.0,0.0,0.0,1.0,,,,,,,,
2018-08-15 00:00:00-04:00,77.5,77.5,77.5,77.5,0,0.0,0.0,0.0,0.0,1.0,,,,,,,,
2018-08-16 00:00:00-04:00,77.5,77.5,77.5,77.5,0,0.0,0.0,0.0,0.0,1.0,,,,,,,,
2018-09-06 00:00:00-04:00,77.5,77.5,77.5,77.5,0,0.0,0.0,0.0,0.0,1.0,,,,,,,,
