Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,daily_return,cum_return,middle_band,upper_band,lower_band,Conversion,Baseline,SpanA,SpanB,Lagging
2018-03-09 00:00:00-05:00,633.6662606163645,646.8821145570499,633.5672898959924,637.4776000976562,853655,0.0,0.0,0.0,,,,,,,,,,643.664794921875
2018-03-12 00:00:00-04:00,644.1597094186806,650.6438621069584,629.9044222384598,636.6856079101562,781200,0.0,0.0,0.0,-0.0012423843400594103,0.9987576156599406,,,,,,,,642.6748046875
2018-03-13 00:00:00-04:00,636.7846109759683,646.2386106053051,632.5773282761661,642.7243041992188,843270,0.0,0.0,0.0,0.009484581108851753,1.0082304132737507,,,,,,,,636.4381713867188
2018-03-14 00:00:00-04:00,644.357745718093,648.960971725345,637.5270743245138,641.8828735351562,550963,0.0,0.0,0.0,-0.001309162666737529,1.0069104756572234,,,,,,,,632.3793334960938
2018-03-15 00:00:00-04:00,641.486900985178,645.9416711309084,638.022079760721,640.2989501953125,393121,0.0,0.0,0.0,-0.0024676205039095844,1.0044258027218902,,,,,,,,624.8062133789062
2018-03-16 00:00:00-04:00,641.486883959788,647.5750938327102,638.715039138126,641.932373046875,1610445,0.0,0.0,0.0,0.0025510315940144856,1.006988124678477,,,,,,,,621.390869140625
2018-03-19 00:00:00-04:00,648.812516968707,648.812516968707,626.8851252145577,628.7660522460938,508193,0.0,0.0,0.0,-0.020510448379925883,0.9863343467280609,,,,,,,,616.8370971679688
2018-03-20 00:00:00-04:00,624.6577488027996,638.517033245334,621.6879021365422,629.85498046875,550665,0.0,0.0,0.0,0.0017318495786571297,0.9880425294508569,,,,,,,,628.9144897460938
2018-03-21 00:00:00-04:00,632.5773049076125,640.1999230135273,628.1720205121042,629.3104858398438,367311,0.0,0.0,0.0,-0.0008644761822809155,0.9871883902170661,,,,636.1658821217503,,,,636.0421142578125
2018-03-22 00:00:00-04:00,629.6074594702897,637.0815610950739,626.6376129633543,628.468994140625,373735,0.0,0.0,0.0,-0.0013371645922850561,0.9858683568557529,,,,636.1658821217503,,,,630.4489135742188
2018-03-23 00:00:00-04:00,618.7180209216605,621.6878674220844,607.3830946940393,612.38232421875,537487,0.0,0.0,0.0,-0.025596600742208597,0.960633478140939,,,,628.1720332096921,,,,619.3119506835938
2018-03-26 00:00:00-04:00,608.8185185137675,615.748160187908,603.6707726143557,612.3328247070312,472276,0.0,0.0,0.0,-8.083105890077658e-05,0.9605558291196854,,,,626.3158721698503,,,,615.7976684570312
